Vgs,L1,Id,gm,cgs,ro,gm/id,gm/cgs,gmro,Id/W
0.71,0.15,6.38E-05,0.001050333,4.73E-15,21376.00783,16.47464885,2.22E+11,22.45192643,6.37545
0.7,0.15,5.39E-05,0.000923198,4.62E-15,24729.71045,17.12982844,2.00E+11,22.83042912,5.38942
0.69,0.15,4.53E-05,0.00080516,4.51E-15,28845.8432,17.78958555,1.79E+11,23.22552488,4.52602
0.68,0.15,3.78E-05,0.000696723,4.39E-15,33926.66548,18.45189346,1.59E+11,23.63749494,3.77589
0.67,0.15,3.13E-05,0.000598144,4.27E-15,40233.4182,19.1144161,1.40E+11,24.0653616,3.12928
0.66,0.15,2.58E-05,0.000509448,4.15E-15,48104.53693,19.77432452,1.23E+11,24.50675532,2.57631
0.65,0.15,2.11E-05,0.00043046,4.02E-15,57979.75347,20.4285599,1.07E+11,24.95798787,2.10715
0.64,0.15,1.71E-05,0.000360833,3.89E-15,70431.71117,21.07338796,92782100467,25.41410677,1.71227
0.63,0.15,1.38E-05,0.000300079,3.76E-15,86208.23427,21.70506969,79907092548,25.86928935,1.38253
0.62,0.15,1.11E-05,0.000247603,3.62E-15,106287.5348,22.31961058,68413816351,26.31706996,1.10935
0.61,0.15,8.85E-06,0.000202732,3.48E-15,131952.0592,22.91308058,58240111923,26.75083889,0.884785
0.6,0.15,7.02E-06,0.000164745,3.34E-15,164885.6815,23.48175356,49308140335,27.16415755,0.701589
0.59,0.15,5.53E-06,0.000132903,3.20E-15,207303.0372,24.02240595,41529072820,27.55119556,0.553246
0.58,0.15,4.34E-06,0.000106466,3.06E-15,262120.587,24.532423,34806899505,27.90700905,0.433982
0.57,0.15,3.39E-06,8.47E-05,2.92E-15,333183.8448,25.00988044,29040983241,28.22765852,0.33875
0.56,0.15,2.63E-06,6.70E-05,2.78E-15,425569.039,25.45345572,24130239812,28.51046581,0.263201
0.55,0.15,2.04E-06,5.27E-05,2.64E-15,545983.2558,25.86266335,19975194292,28.75388058,0.203631
0.54,0.15,1.57E-06,4.12E-05,2.50E-15,703296.2087,26.23779361,16480972833,28.95746183,0.156926
0.53,0.15,1.21E-06,3.20E-05,2.36E-15,909247.1343,26.57917711,13558618588,29.12176729,0.120502
0.52,0.15,9.22E-07,2.48E-05,2.23E-15,1179380.328,26.88840243,11126612379,29.2481014,0.0922314
0.51,0.15,7.04E-07,1.91E-05,2.10E-15,1534296.984,27.16683905,9111587615,29.3384587,0.0703864
0.5,0.15,5.36E-07,1.47E-05,1.97E-15,2001308.055,27.4164237,7448361545,29.39525274,0.0535738
0.49,0.15,4.07E-07,1.12E-05,1.85E-15,2616641.368,27.63914358,6080106419,29.42120155,0.040681
0.48,0.15,3.08E-07,8.58E-06,1.73E-15,3428368.861,27.83706015,4957554119,29.41910747,0.0308261
0.47,0.15,2.33E-07,6.53E-06,1.62E-15,4500304.221,28.0125156,4038741953,29.39189189,0.0233149
0.46,0.15,1.76E-07,4.96E-06,1.51E-15,5917184.272,28.16737386,3288114262,29.34235822,0.0176049
0.45,0.15,1.33E-07,3.76E-06,1.40E-15,7791566.253,28.30374416,2675801236,29.27321828,0.013274
0.44,0.15,1.00E-07,2.84E-06,1.31E-15,10272984,28.42342311,2176868559,29.18698577,0.00999577
0.43,0.15,7.52E-08,2.14E-06,1.21E-15,13560162.3,28.5284119,1770704002,29.08600574,0.00751868
0.42,0.15,5.65E-08,1.62E-06,1.12E-15,17917235.99,28.62020567,1440225340,28.97240351,0.0056499
0.41,0.15,4.24E-08,1.22E-06,1.04E-15,23695346.09,28.70036493,1171466236,28.84808866,0.00424196
0.4,0.15,3.18E-08,9.16E-07,9.61E-16,31361381.91,28.7702208,952928956.7,28.71477607,0.00318249
1.19,0.2,0.00142625,0.003791835,9.91E-15,3737.258751,2.658604733,3.83E+11,14.17106853,142.625
1.18,0.2,0.00138839,0.003779666,9.89E-15,3811.571168,2.722337384,3.82E+11,14.40646595,138.839
1.17,0.2,0.00135066,0.003766985,9.88E-15,3888.7355,2.78899575,3.81E+11,14.6488083,135.066
1.16,0.2,0.00131305,0.003753772,9.86E-15,3968.926481,2.858818781,3.81E+11,14.89844509,131.305
1.15,0.2,0.00127558,0.00374001,9.84E-15,4052.335097,2.932007401,3.80E+11,15.15577379,127.558
1.14,0.2,0.00123825,0.003725675,9.83E-15,4139.172215,3.008822936,3.79E+11,15.42121044,123.825
1.13,0.2,0.00120107,0.003710743,9.81E-15,4229.665776,3.089531002,3.78E+11,15.69520267,120.107
1.12,0.2,0.00116404,0.003695185,9.79E-15,4324.062543,3.174448473,3.77E+11,15.97821105,116.404
1.11,0.2,0.00112717,0.003678966,9.77E-15,4422.641803,3.263896307,3.77E+11,16.27074882,112.717
1.1,0.2,0.00109046,0.003662048,9.75E-15,4525.699866,3.358259817,3.76E+11,16.57333014,109.046
1.09,0.2,0.00105393,0.003644383,9.73E-15,4633.572457,3.457898532,3.75E+11,16.88651269,105.393
1.08,0.2,0.00101758,0.003625916,9.71E-15,4746.629656,3.563273649,3.74E+11,17.21088041,101.758
1.07,0.2,0.000981416,0.003606584,9.68E-15,4865.275652,3.674877931,3.72E+11,17.54702532,98.1416
1.06,0.2,0.000945451,0.003586309,9.66E-15,4989.97016,3.793225667,3.71E+11,17.89557489,94.5451
1.05,0.2,0.000909694,0.003565003,9.63E-15,5121.216637,3.918903499,3.70E+11,18.25715268,90.9694
1.04,0.2,0.000874155,0.003542559,9.61E-15,5259.586912,4.052552465,3.69E+11,18.63239695,87.4155
1.03,0.2,0.000838847,0.003518853,9.58E-15,5405.720983,4.194868671,3.67E+11,19.0219375,83.8847
1.02,0.2,0.000803783,0.003493741,9.55E-15,5560.337446,4.34662216,3.66E+11,19.42637891,80.3783
